product_key,entity_type,name_bn,aliases,defining_chunk_id,chunk_ids,status
dabi,brac_programme,দাবি,দাবি কর্মসূচি; দাবি+; Dabi; Group Financing,progoti_0010,progoti_0002;progoti_0005;progoti_0010;progoti_0011;progoti_0012;progoti_0013_p1;progoti_0013_p2;progoti_0021;progoti_0022_p1;progoti_0022_p2;progoti_0042;progoti_0050;progoti_0055_p1;progoti_0055_p2;progoti_0055_p3;progoti_0065;progoti_0067;progoti_0068;progoti_0069_p1;progoti_0069_p2;progoti_0069_p3;progoti_0081;progoti_0084;progoti_0086;progoti_0090_p1;progoti_0090_p2;progoti_0090_p3;progoti_0090_p4;progoti_0090_p5;progoti_0090_p6;progoti_0090_p7;progoti_0097;progoti_0098;progoti_0099;progoti_0104;progoti_0106;progoti_0110;progoti_0112;progoti_0123;progoti_0124;progoti_0128;progoti_0130;progoti_0133;progoti_0134;progoti_0135;progoti_0141;progoti_0142;progoti_0148;progoti_0151;progoti_0152;progoti_0162;progoti_0164;progoti_0172;progoti_0174;progoti_0175;progoti_0176;progoti_0177;progoti_0178;progoti_0179;progoti_0188;progoti_0189;progoti_0190;progoti_0191;progoti_0192;progoti_0193;progoti_0205;progoti_0211;progoti_0212;progoti_0223;progoti_0224;progoti_0233;progoti_0234;progoti_0238;progoti_0247;progoti_0248;progoti_0255;progoti_0257;progoti_0259;progoti_0261;progoti_0298_p1;progoti_0298_p2;progoti_0300;progoti_0307_p1;progoti_0307_p2;progoti_0307_p3;progoti_0307_p4;progoti_0307_p5;progoti_0307_p6;progoti_0307_p7;progoti_0307_p8;progoti_0307_p9;progoti_0323;progoti_0325;progoti_0331;progoti_0338;progoti_0339;progoti_0340;progoti_0341;progoti_0347;progoti_0356;progoti_0373;progoti_0376;progoti_0379;progoti_0391_p1;progoti_0391_p2;progoti_0391_p3;progoti_0391_p4;progoti_0391_p5;progoti_0392;dabi_2025_0002;dabi_2025_0005;dabi_2025_0010;dabi_2025_0011;dabi_2025_0012;dabi_2025_0013_p1;dabi_2025_0013_p2;dabi_2025_0014;dabi_2025_0015_p1;dabi_2025_0015_p2;dabi_2025_0035;dabi_2025_0043;dabi_2025_0048_p1;dabi_2025_0048_p2;dabi_2025_0048_p3;dabi_2025_0057;dabi_2025_0059_p1;dabi_2025_0059_p2;dabi_2025_0059_p3;dabi_2025_0071;dabi_2025_0074;dabi_2025_0076;dabi_2025_0079_p1;dabi_2025_0079_p2;dabi_2025_0079_p3;dabi_2025_0079_p4;dabi_2025_0079_p5;dabi_2025_0086;dabi_2025_0087;dabi_2025_0088;dabi_2025_0092;dabi_2025_0094;dabi_2025_0098;dabi_2025_0100;dabi_2025_0111;dabi_2025_0112;dabi_2025_0116;dabi_2025_0118;dabi_2025_0121;dabi_2025_0122;dabi_2025_0123;dabi_2025_0127;dabi_2025_0128;dabi_2025_0132;dabi_2025_0135;dabi_2025_0136;dabi_2025_0146;dabi_2025_0148;dabi_2025_0156;dabi_2025_0158;dabi_2025_0159;dabi_2025_0160;dabi_2025_0161;dabi_2025_0162;dabi_2025_0163;dabi_2025_0172;dabi_2025_0173;dabi_2025_0174;dabi_2025_0175;dabi_2025_0176;dabi_2025_0177;dabi_2025_0178;dabi_2025_0179;dabi_2025_0180;dabi_2025_0181;dabi_2025_0182;dabi_2025_0184;dabi_2025_0185;dabi_2025_0196;dabi_2025_0197;dabi_2025_0205;dabi_2025_0206;dabi_2025_0210;dabi_2025_0219;dabi_2025_0220;dabi_2025_0227;dabi_2025_0229;dabi_2025_0231;dabi_2025_0233;dabi_2025_0248;dabi_2025_0257;dabi_2025_0261;dabi_2025_0267;dabi_2025_0274_p1;dabi_2025_0274_p2;dabi_2025_0276;dabi_2025_0283_p1;dabi_2025_0283_p2;dabi_2025_0283_p3;dabi_2025_0283_p4;dabi_2025_0283_p5;dabi_2025_0283_p6;dabi_2025_0283_p7;dabi_2025_0283_p8;dabi_2025_0299;dabi_2025_0301;dabi_2025_0306;dabi_2025_0313;dabi_2025_0314;dabi_2025_0315;dabi_2025_0316;dabi_2025_0322;dabi_2025_0331;dabi_2025_0348;dabi_2025_0351;dabi_2025_0354;dabi_2025_0366_p1;dabi_2025_0366_p2;dabi_2025_0366_p3;dabi_2025_0366_p4;dabi_2025_0366_p5;dabi_2025_0367,
progoti,brac_programme,প্রগতি,প্রগতি কর্মসূচি; Progoti; Individual Lending; MELA,progoti_0014,progoti_0002;progoti_0005;progoti_0014;progoti_0015;progoti_0016_p1;progoti_0016_p2;progoti_0016_p3;progoti_0017;progoti_0018;progoti_0019;progoti_0020;progoti_0021;progoti_0022_p1;progoti_0022_p2;progoti_0061_p1;progoti_0061_p2;progoti_0061_p3;progoti_0066;progoti_0067;progoti_0068;progoti_0081;progoti_0084;progoti_0086;progoti_0090_p1;progoti_0090_p2;progoti_0090_p3;progoti_0090_p4;progoti_0090_p5;progoti_0090_p6;progoti_0090_p7;progoti_0097;progoti_0098;progoti_0099;progoti_0100;progoti_0102;progoti_0103;progoti_0104;progoti_0106;progoti_0107;progoti_0112;progoti_0124;progoti_0128;progoti_0133;progoti_0134;progoti_0137;progoti_0141;progoti_0142;progoti_0143;progoti_0148;progoti_0151;progoti_0152;progoti_0162;progoti_0164;progoti_0172;progoti_0194;progoti_0195;progoti_0196;progoti_0197;progoti_0198;progoti_0199;progoti_0200;progoti_0201;progoti_0202;progoti_0203;progoti_0204;progoti_0205;progoti_0206;progoti_0207;progoti_0208;progoti_0209;progoti_0211;progoti_0212;progoti_0223;progoti_0224;progoti_0226;progoti_0227;progoti_0231;progoti_0232;progoti_0233;progoti_0234;progoti_0240;progoti_0241;progoti_0245;progoti_0246;progoti_0247;progoti_0248;progoti_0255;progoti_0257;progoti_0259;progoti_0260;progoti_0261;progoti_0277;progoti_0278;progoti_0283;progoti_0298_p1;progoti_0298_p2;progoti_0300;progoti_0307_p1;progoti_0307_p2;progoti_0307_p3;progoti_0307_p4;progoti_0307_p5;progoti_0307_p6;progoti_0307_p7;progoti_0307_p8;progoti_0307_p9;progoti_0323;progoti_0328;progoti_0331;progoti_0341;progoti_0345;progoti_0357;progoti_0358;progoti_0373;progoti_0377;progoti_0379;progoti_0391_p1;progoti_0391_p2;progoti_0391_p3;progoti_0391_p4;progoti_0391_p5;dabi_2025_0002;dabi_2025_0005;dabi_2025_0014;dabi_2025_0015_p1;dabi_2025_0015_p2;dabi_2025_0071;dabi_2025_0094;dabi_2025_0112;dabi_2025_0116;dabi_2025_0132;dabi_2025_0135;dabi_2025_0146;dabi_2025_0148;dabi_2025_0156;dabi_2025_0184;dabi_2025_0185;dabi_2025_0196;dabi_2025_0198;dabi_2025_0203;dabi_2025_0204;dabi_2025_0205;dabi_2025_0206;dabi_2025_0212;dabi_2025_0213;dabi_2025_0217;dabi_2025_0218;dabi_2025_0219;dabi_2025_0231;dabi_2025_0232;dabi_2025_0261;dabi_2025_0276;dabi_2025_0283_p1;dabi_2025_0283_p2;dabi_2025_0283_p3;dabi_2025_0283_p4;dabi_2025_0283_p5;dabi_2025_0283_p6;dabi_2025_0283_p7;dabi_2025_0283_p8;dabi_2025_0320;dabi_2025_0332;dabi_2025_0333;dabi_2025_0348;dabi_2025_0352;dabi_2025_0354;dabi_2025_0366_p1;dabi_2025_0366_p2;dabi_2025_0366_p3;dabi_2025_0366_p4;dabi_2025_0366_p5,
bcup,brac_programme,বিসিইউপি,BCUP,,progoti_0010;progoti_0021;progoti_0022_p1;progoti_0022_p2;progoti_0055_p1;progoti_0055_p2;progoti_0055_p3;progoti_0069_p1;progoti_0069_p2;progoti_0069_p3;progoti_0090_p1;progoti_0090_p2;progoti_0090_p3;progoti_0090_p4;progoti_0090_p5;progoti_0090_p6;progoti_0090_p7;progoti_0098;progoti_0104;progoti_0106;progoti_0164;progoti_0174;progoti_0175;progoti_0176;progoti_0177;progoti_0178;progoti_0179;progoti_0298_p1;progoti_0298_p2;progoti_0307_p1;progoti_0307_p2;progoti_0307_p3;progoti_0307_p4;progoti_0307_p5;progoti_0307_p6;progoti_0307_p7;progoti_0307_p8;progoti_0307_p9;progoti_0376;progoti_0379;dabi_2025_0010;dabi_2025_0014;dabi_2025_0015_p1;dabi_2025_0015_p2;dabi_2025_0048_p1;dabi_2025_0048_p2;dabi_2025_0048_p3;dabi_2025_0059_p1;dabi_2025_0059_p2;dabi_2025_0059_p3;dabi_2025_0079_p1;dabi_2025_0079_p2;dabi_2025_0079_p3;dabi_2025_0079_p4;dabi_2025_0079_p5;dabi_2025_0087;dabi_2025_0092;dabi_2025_0094;dabi_2025_0148;dabi_2025_0158;dabi_2025_0159;dabi_2025_0160;dabi_2025_0161;dabi_2025_0162;dabi_2025_0163;dabi_2025_0274_p1;dabi_2025_0274_p2;dabi_2025_0283_p1;dabi_2025_0283_p2;dabi_2025_0283_p3;dabi_2025_0283_p4;dabi_2025_0283_p5;dabi_2025_0283_p6;dabi_2025_0283_p7;dabi_2025_0283_p8;dabi_2025_0351;dabi_2025_0354,
cdp,brac_programme,সিডিপি,CDP,,progoti_0021;progoti_0022_p1;progoti_0022_p2;progoti_0174;progoti_0175;progoti_0176;progoti_0177;progoti_0178;progoti_0179;progoti_0307_p1;progoti_0307_p2;progoti_0307_p3;progoti_0307_p4;progoti_0307_p5;progoti_0307_p6;progoti_0307_p7;progoti_0307_p8;progoti_0307_p9;progoti_0376;dabi_2025_0014;dabi_2025_0015_p1;dabi_2025_0015_p2;dabi_2025_0158;dabi_2025_0159;dabi_2025_0160;dabi_2025_0161;dabi_2025_0162;dabi_2025_0163;dabi_2025_0283_p1;dabi_2025_0283_p2;dabi_2025_0283_p3;dabi_2025_0283_p4;dabi_2025_0283_p5;dabi_2025_0283_p6;dabi_2025_0283_p7;dabi_2025_0283_p8;dabi_2025_0351,
ncdp,brac_programme,এনসিডিপি,NCDP,,progoti_0010;progoti_0055_p1;progoti_0055_p2;progoti_0055_p3;progoti_0069_p1;progoti_0069_p2;progoti_0069_p3;progoti_0081;progoti_0090_p1;progoti_0090_p2;progoti_0090_p3;progoti_0090_p4;progoti_0090_p5;progoti_0090_p6;progoti_0090_p7;progoti_0098;progoti_0104;progoti_0106;progoti_0164;progoti_0298_p1;progoti_0298_p2;dabi_2025_0010;dabi_2025_0048_p1;dabi_2025_0048_p2;dabi_2025_0048_p3;dabi_2025_0059_p1;dabi_2025_0059_p2;dabi_2025_0059_p3;dabi_2025_0071;dabi_2025_0079_p1;dabi_2025_0079_p2;dabi_2025_0079_p3;dabi_2025_0079_p4;dabi_2025_0079_p5;dabi_2025_0087;dabi_2025_0092;dabi_2025_0094;dabi_2025_0148;dabi_2025_0274_p1;dabi_2025_0274_p2,
scdp,brac_programme,এসসিডিপি,SCDP,,progoti_0010;progoti_0055_p1;progoti_0055_p2;progoti_0055_p3;progoti_0069_p1;progoti_0069_p2;progoti_0069_p3;progoti_0081;progoti_0090_p1;progoti_0090_p2;progoti_0090_p3;progoti_0090_p4;progoti_0090_p5;progoti_0090_p6;progoti_0090_p7;progoti_0104;progoti_0106;progoti_0164;progoti_0298_p1;progoti_0298_p2;progoti_0379;dabi_2025_0010;dabi_2025_0048_p1;dabi_2025_0048_p2;dabi_2025_0048_p3;dabi_2025_0059_p1;dabi_2025_0059_p2;dabi_2025_0059_p3;dabi_2025_0071;dabi_2025_0079_p1;dabi_2025_0079_p2;dabi_2025_0079_p3;dabi_2025_0079_p4;dabi_2025_0079_p5;dabi_2025_0092;dabi_2025_0094;dabi_2025_0148;dabi_2025_0274_p1;dabi_2025_0274_p2;dabi_2025_0354,
dabi_general_loan,brac_product,দাবি + সাধারণ লোন,দাবি সাধারণ লোন,progoti_0010,progoti_0010;dabi_2025_0010,
shadhin_loan,brac_product,স্বাধীন লোন,স্বাধীণ ঋণ,progoti_0011,progoti_0011;progoti_0013_p1;progoti_0013_p2;progoti_0391_p1;progoti_0392;dabi_2025_0011;dabi_2025_0013_p1;dabi_2025_0013_p2;dabi_2025_0366_p1;dabi_2025_0367,
loan_18_month,brac_product,১৮ মাস মেয়াদি লোন,১৮ মাস মেয়াদী ঋণ,progoti_0012,progoti_0012;progoti_0013_p1;progoti_0013_p2;progoti_0022_p2;progoti_0063;progoti_0391_p1;dabi_2025_0012;dabi_2025_0013_p1;dabi_2025_0013_p2;dabi_2025_0015_p2;dabi_2025_0055;dabi_2025_0366_p1,
wash_loan,brac_product,ওয়াশ লোন,WASH loan,progoti_0012,progoti_0012;progoti_0013_p1;progoti_0391_p1;dabi_2025_0012;dabi_2025_0013_p1;dabi_2025_0366_p1,
